c FILE: DSJC500.5
c
c SOURCE: David Johnson (dsj@research.att.com)
c
c DESCRIPTION: Random graph used in the paper
c              "Optimization by Simulated Annealing: An
c               Experimental Evaluation; Part II, Graph
c               Coloring and Number Partitioning" by
c              David S. Johnson, Cecilia R. Aragon, 
c              Lyle A. McGeoch and Catherine Schevon
c              Operations Research, 39, 378-406 (1991)
c
p edge 500 62624
e 2 1
e 3 1
e 4 2
e 4 3
e 5 1
e 5 2
e 6 2
e 6 3
e 6 4
e 6 5
e 7 2
e 7 5
e 8 4
e 8 6
e 8 7
e 9 1
e 9 5
e 9 6
e 9 7
e 9 8
e 10 2
e 10 5
e 10 9
e 11 2
e 11 10
e 12 2
e 12 3
e 12 4
e 12 8
e 12 10
e 13 3
e 13 4
e 13 7
e 13 9
e 13 10
e 13 12
e 14 2
e 14 3
e 14 8
e 14 9
e 14 12
e 15 1
e 15 2
e 15 5
e 15 6
e 15 7
e 15 11
e 15 14
e 16 1
e 16 5
e 16 6
e 16 7
e 16 8
e 16 12
e 17 3
e 17 4
e 17 5
e 17 6
e 17 9
e 17 10
e 17 13
e 17 16
e 18 2
e 18 3
e 18 6
e 18 7
e 18 8
e 18 9
e 18 10
e 18 11
e 18 12
e 18 13
e 19 7
e 19 8
e 19 10
e 19 12
e 19 16
e 20 2
e 20 6
e 20 7
e 20 11
e 20 13
e 20 14
e 20 15
e 20 16
e 20 17
e 20 19
e 21 6
e 21 7
e 21 8
e 21 9
e 21 14
e 21 15
e 21 17
e 21 19
e 21 20
e 22 2
e 22 4
e 22 5
e 22 7
e 22 8
e 22 11
e 22 15
e 22 16
e 22 17
e 22 19
e 22 20
e 22 21
e 23 1
e 23 2
e 23 4
e 23 5
e 23 6
e 23 9
e 23 11
e 23 13
e 23 14
e 23 16
e 23 19
e 23 21
e 24 1
e 24 2
e 24 6
e 24 7
e 24 9
e 24 11
e 24 14
e 24 15
e 24 16
e 24 17
e 24 18
e 24 19
e 24 20
e 24 21
e 24 23
e 25 3
e 25 4
e 25 5
e 25 6
e 25 8
e 25 9
e 25 10
e 25 11
e 25 12
e 25 14
e 25 15
e 25 18
e 25 19
e 25 20
e 25 21
e 26 9
ela? 26 10
e 26 11
e 26 13 oui ici
