$name	$title
"Adam Driver"	"Star Wars: Episode IX - The Rise of Skywalker"	
"Alec Guinness"	"Star Wars: Episode IV - A New Hope"	
"Billy Dee Williams"	"Star Wars: Episode V - The Empire Strikes Back"	
"Billy Dee Williams"	"Star Wars: Episode VI - Return of the Jedi"	
"Carrie Fisher"	"Star Wars: Episode IV - A New Hope"	
"Carrie Fisher"	"Star Wars: Episode V - The Empire Strikes Back"	
"Carrie Fisher"	"Star Wars: Episode VI - Return of the Jedi"	
"Carrie Fisher"	"Star Wars: Episode VIII - The Last Jedi"	
"Christopher Lee"	"Star Wars: Episode II - Attack of the Clones"	
"Daisy Ridley"	"Star Wars: Episode IX - The Rise of Skywalker"	
"Daisy Ridley"	"Star Wars: Episode VII - The Force Awakens"	
"Daisy Ridley"	"Star Wars: Episode VIII - The Last Jedi"	
"Ewan McGregor"	"Star Wars: Episode I - The Phantom Menace"	
"Ewan McGregor"	"Star Wars: Episode II - Attack of the Clones"	
"Ewan McGregor"	"Star Wars: Episode III - Revenge of the Sith"	
"Felicity Jones"	"Rogue One: A Star Wars Story"	
"Harrison Ford"	"Star Wars: Episode IV - A New Hope"	
"Harrison Ford"	"Star Wars: Episode V - The Empire Strikes Back"	
"Harrison Ford"	"Star Wars: Episode VI - Return of the Jedi"	
"Hayden Christensen"	"Star Wars: Episode II - Attack of the Clones"	
"Hayden Christensen"	"Star Wars: Episode III - Revenge of the Sith"	
"Jake Lloyd"	"Star Wars: Episode I - The Phantom Menace"	
"James Earl Jones"	"Star Wars: Episode IV - A New Hope"	
"James Earl Jones"	"Star Wars: Episode V - The Empire Strikes Back"	
"James Earl Jones"	"Star Wars: Episode VI - Return of the Jedi"	
"John Boyega"	"Star Wars: Episode VII - The Force Awakens"	
"John Boyega"	"Star Wars: Episode VIII - The Last Jedi"	
"Liam Neeson"	"Star Wars: Episode I - The Phantom Menace"	
"Mark Hamill"	"Star Wars: Episode IV - A New Hope"	
"Mark Hamill"	"Star Wars: Episode IX - The Rise of Skywalker"	
"Mark Hamill"	"Star Wars: Episode V - The Empire Strikes Back"	
"Mark Hamill"	"Star Wars: Episode VI - Return of the Jedi"	
"Mark Hamill"	"Star Wars: Episode VIII - The Last Jedi"	
"Natalie Portman"	"Star Wars: Episode I - The Phantom Menace"	
"Natalie Portman"	"Star Wars: Episode II - Attack of the Clones"	
"Natalie Portman"	"Star Wars: Episode III - Revenge of the Sith"	
"Spencer Wilding"	"Rogue One: A Star Wars Story"	
