$actorName	$character
"Adam Driver"	"kylo-ren"	
"Alec Guinness"	"obi-wan-kenobi"	
"Billy Dee Williams"	"lando-calrissian"	
"Carrie Fisher"	"leia-organa"	
"Christopher Lee"	"count-dooku"	
"Daisy Ridley"	"rey"	
"Ewan McGregor"	"obi-wan-kenobi"	
"Felicity Jones"	"jyn-erso"	
"Harrison Ford"	"han-solo"	
"Hayden Christensen"	"anakin-skywalker"	
"Jake Lloyd"	"anakin-skywalker"	
"James Earl Jones"	"darth-vader"	
"John Boyega"	"finn"	
"Liam Neeson"	"qui-gon-jinn"	
"Mark Hamill"	"luke-skywalker"	
"Natalie Portman"	"padmé"	
"Natalie Portman"	"queen-amidala"	
"Spencer Wilding"	"darth-vader"	
