$character	$title
"anakin-skywalker"	"Star Wars: Episode I - The Phantom Menace"	
"anakin-skywalker"	"Star Wars: Episode II - Attack of the Clones"	
"anakin-skywalker"	"Star Wars: Episode III - Revenge of the Sith"	
"count-dooku"	"Star Wars: Episode II - Attack of the Clones"	
"darth-vader"	"Rogue One: A Star Wars Story"	
"darth-vader"	"Star Wars: Episode IV - A New Hope"	
"darth-vader"	"Star Wars: Episode V - The Empire Strikes Back"	
"darth-vader"	"Star Wars: Episode VI - Return of the Jedi"	
"finn"	"Star Wars: Episode VII - The Force Awakens"	
"finn"	"Star Wars: Episode VIII - The Last Jedi"	
"han-solo"	"Star Wars: Episode IV - A New Hope"	
"han-solo"	"Star Wars: Episode V - The Empire Strikes Back"	
"han-solo"	"Star Wars: Episode VI - Return of the Jedi"	
"jyn-erso"	"Rogue One: A Star Wars Story"	
"kylo-ren"	"Star Wars: Episode IX - The Rise of Skywalker"	
"lando-calrissian"	"Star Wars: Episode V - The Empire Strikes Back"	
"lando-calrissian"	"Star Wars: Episode VI - Return of the Jedi"	
"leia-organa"	"Star Wars: Episode IV - A New Hope"	
"leia-organa"	"Star Wars: Episode V - The Empire Strikes Back"	
"leia-organa"	"Star Wars: Episode VI - Return of the Jedi"	
"leia-organa"	"Star Wars: Episode VIII - The Last Jedi"	
"luke-skywalker"	"Star Wars: Episode IV - A New Hope"	
"luke-skywalker"	"Star Wars: Episode IX - The Rise of Skywalker"	
"luke-skywalker"	"Star Wars: Episode V - The Empire Strikes Back"	
"luke-skywalker"	"Star Wars: Episode VI - Return of the Jedi"	
"luke-skywalker"	"Star Wars: Episode VIII - The Last Jedi"	
"obi-wan-kenobi"	"Star Wars: Episode I - The Phantom Menace"	
"obi-wan-kenobi"	"Star Wars: Episode II - Attack of the Clones"	
"obi-wan-kenobi"	"Star Wars: Episode III - Revenge of the Sith"	
"obi-wan-kenobi"	"Star Wars: Episode IV - A New Hope"	
"padmé"	"Star Wars: Episode I - The Phantom Menace"	
"padmé"	"Star Wars: Episode II - Attack of the Clones"	
"padmé"	"Star Wars: Episode III - Revenge of the Sith"	
"queen-amidala"	"Star Wars: Episode I - The Phantom Menace"	
"qui-gon-jinn"	"Star Wars: Episode I - The Phantom Menace"	
"rey"	"Star Wars: Episode IX - The Rise of Skywalker"	
"rey"	"Star Wars: Episode VII - The Force Awakens"	
"rey"	"Star Wars: Episode VIII - The Last Jedi"	
