INPUT	N_ANS	N_TRI	N_REF	N_REW	N_CLASH	N_COVER	T_REF	T_REW	T_CLASH	T_COVER	T_CORE	T_OP	T_QEV	T_TOTAL
q9	0	4	3	6	6	0	6	11	0	0	0	3	0	20
q16	0	4	3	6	6	0	1	4	0	0	0	0	0	5
q23	0	4	3	6	6	0	1	3	0	0	0	0	0	4
q30	0	4	3	6	6	0	1	3	0	0	0	0	0	4
q37	0	4	3	6	6	0	0	3	0	0	0	0	0	3
q44	0	4	3	6	6	0	1	1	0	1	0	0	0	3
q51	0	4	3	6	6	0	0	2	0	0	0	0	0	2
q58	0	4	3	6	6	0	1	2	0	0	0	0	0	3
q65	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q72	0	4	3	6	6	0	0	2	0	0	0	0	0	2
q79	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q86	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q93	0	4	3	6	6	0	1	1	0	0	0	1	0	3
q100	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q107	0	4	3	6	6	0	0	2	0	0	0	0	0	2
q114	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q121	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q128	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q135	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q142	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q149	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q156	0	4	3	6	6	0	0	2	0	0	0	0	0	2
q163	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q170	0	4	3	6	6	0	1	2	0	0	0	0	0	3
q177	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q184	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q191	0	4	3	6	6	0	0	2	0	0	0	0	0	2
q198	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q205	0	4	3	6	6	0	0	2	0	0	0	0	0	2
q212	0	4	3	6	6	0	0	1	1	0	0	0	0	2
q219	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q226	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q233	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q240	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q247	0	4	3	6	6	0	1	1	0	0	0	0	0	2
q254	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q261	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q268	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q275	0	4	3	6	6	0	0	1	0	0	0	0	0	1
q282	0	4	3	6	6	0	1	2	0	0	0	0	0	3
q289	0	4	3	6	6	0	1	0	0	0	0	0	0	1
q296	0	4	3	6	6	0	1	1	0	0	0	0	0	2
