$character	$movieTitle
<https://www.starwars.com/databank/anakin-skywalker>	"Star Wars: Episode I - The Phantom Menace"	
<https://www.starwars.com/databank/anakin-skywalker>	"Star Wars: Episode II - Attack of the Clones"	
<https://www.starwars.com/databank/anakin-skywalker>	"Star Wars: Episode III - Revenge of the Sith"	
<https://www.starwars.com/databank/count-dooku>	"Star Wars: Episode II - Attack of the Clones"	
<https://www.starwars.com/databank/darth-vader>	"Rogue One: A Star Wars Story"	
<https://www.starwars.com/databank/darth-vader>	"Star Wars: Episode IV - A New Hope"	
<https://www.starwars.com/databank/darth-vader>	"Star Wars: Episode V - The Empire Strikes Back"	
<https://www.starwars.com/databank/darth-vader>	"Star Wars: Episode VI - Return of the Jedi"	
<https://www.starwars.com/databank/finn>	"Star Wars: Episode VII - The Force Awakens"	
<https://www.starwars.com/databank/finn>	"Star Wars: Episode VIII - The Last Jedi"	
<https://www.starwars.com/databank/han-solo>	"Star Wars: Episode IV - A New Hope"	
<https://www.starwars.com/databank/han-solo>	"Star Wars: Episode V - The Empire Strikes Back"	
<https://www.starwars.com/databank/han-solo>	"Star Wars: Episode VI - Return of the Jedi"	
<https://www.starwars.com/databank/jyn-erso>	"Rogue One: A Star Wars Story"	
<https://www.starwars.com/databank/kylo-ren>	"Star Wars: Episode IX - The Rise of Skywalker"	
<https://www.starwars.com/databank/lando-calrissian>	"Star Wars: Episode V - The Empire Strikes Back"	
<https://www.starwars.com/databank/lando-calrissian>	"Star Wars: Episode VI - Return of the Jedi"	
<https://www.starwars.com/databank/leia-organa>	"Star Wars: Episode IV - A New Hope"	
<https://www.starwars.com/databank/leia-organa>	"Star Wars: Episode V - The Empire Strikes Back"	
<https://www.starwars.com/databank/leia-organa>	"Star Wars: Episode VI - Return of the Jedi"	
<https://www.starwars.com/databank/leia-organa>	"Star Wars: Episode VIII - The Last Jedi"	
<https://www.starwars.com/databank/luke-skywalker>	"Star Wars: Episode IV - A New Hope"	
<https://www.starwars.com/databank/luke-skywalker>	"Star Wars: Episode IX - The Rise of Skywalker"	
<https://www.starwars.com/databank/luke-skywalker>	"Star Wars: Episode V - The Empire Strikes Back"	
<https://www.starwars.com/databank/luke-skywalker>	"Star Wars: Episode VI - Return of the Jedi"	
<https://www.starwars.com/databank/luke-skywalker>	"Star Wars: Episode VIII - The Last Jedi"	
<https://www.starwars.com/databank/obi-wan-kenobi>	"Star Wars: Episode I - The Phantom Menace"	
<https://www.starwars.com/databank/obi-wan-kenobi>	"Star Wars: Episode II - Attack of the Clones"	
<https://www.starwars.com/databank/obi-wan-kenobi>	"Star Wars: Episode III - Revenge of the Sith"	
<https://www.starwars.com/databank/obi-wan-kenobi>	"Star Wars: Episode IV - A New Hope"	
<https://www.starwars.com/databank/padmé>	"Star Wars: Episode I - The Phantom Menace"	
<https://www.starwars.com/databank/padmé>	"Star Wars: Episode II - Attack of the Clones"	
<https://www.starwars.com/databank/padmé>	"Star Wars: Episode III - Revenge of the Sith"	
<https://www.starwars.com/databank/queen-amidala>	"Star Wars: Episode I - The Phantom Menace"	
<https://www.starwars.com/databank/queen-amidala>	"Star Wars: Episode II - Attack of the Clones"	
<https://www.starwars.com/databank/queen-amidala>	"Star Wars: Episode III - Revenge of the Sith"	
<https://www.starwars.com/databank/qui-gon-jinn>	"Star Wars: Episode I - The Phantom Menace"	
<https://www.starwars.com/databank/rey>	"Star Wars: Episode IX - The Rise of Skywalker"	
<https://www.starwars.com/databank/rey>	"Star Wars: Episode VII - The Force Awakens"	
<https://www.starwars.com/databank/rey>	"Star Wars: Episode VIII - The Last Jedi"	
